fish,date,depth_mean_day,depth_mean_night,Temperature_1m
Cod_9032,22/11/2013,4.908602151,6.984356436,10.0885
Cod_9032,23/11/2013,3.411698113,4.177028571,8.351708333
Cod_9032,24/11/2013,6.002540984,4.040361446,8.207125
Cod_9032,25/11/2013,9.500857143,7.125021459,8.119458333
Cod_9032,26/11/2013,9.797142857,4.636220472,6.77475
Cod_9032,27/11/2013,8.901304348,3.887091837,7.065875
Cod_9032,28/11/2013,9.8314,6.939882813,6.9964375
Cod_9032,29/11/2013,8.030543478,7.652417582,6.71525
Cod_9032,30/11/2013,5.773298969,7.304139194,7.284083333
Cod_9032,01/12/2013,5.439117647,6.5842,7.1625
Cod_9032,02/12/2013,6.816907216,6.82064,6.972956522
Cod_9032,03/12/2013,5.944851485,5.061612903,7.014636364
Cod_9034,28/06/2013,19.08884211,16.27965517,18.00541667
Cod_9034,29/06/2013,21.79465347,20.42773585,17.75595833
Cod_9034,30/06/2013,23.63981221,22.50940299,17.181125
Cod_9034,01/07/2013,23.97349057,23.98323077,17.49952174
Cod_9034,02/07/2013,23.79494898,23.94714286,17.601375
Cod_9034,03/07/2013,23.3841453,24.28333333,17.6055
Cod_9034,04/07/2013,23.61819742,22.61932432,17.61354167
Cod_9034,05/07/2013,24.01352,23.87876923,18.11670833
Cod_9034,06/07/2013,24.18370213,23.11581395,17.94629167
Cod_9034,07/07/2013,23.7399569,22.45441558,18.917375
Cod_9034,08/07/2013,24.57126168,23.30552632,18.24345833
Cod_9034,09/07/2013,23.51586854,24.67320513,18.75079167
Cod_9034,10/07/2013,23.67827586,24.45484375,18.47729167
Cod_9034,11/07/2013,23.68915094,24.14857143,18.485375
Cod_9034,12/07/2013,23.38121495,23.82642857,18.19991667
Cod_9034,13/07/2013,22.8015625,23.28935484,18.600125
Cod_9034,14/07/2013,22.86401786,23.48101266,18.65954167
Cod_9034,15/07/2013,23.4623301,23.54514286,18.71504167
Cod_9034,16/07/2013,23.33894737,23.32933333,18.68341667
Cod_9034,17/07/2013,23.82536797,24.18494253,18.85779167
Cod_9034,18/07/2013,24.71456897,23.13057471,18.307
Cod_9034,19/07/2013,24.32310345,24.11512821,17.47458333
Cod_9034,20/07/2013,24.0116129,23.93280899,18.14833333
Cod_9034,21/07/2013,24.1232618,24.21488636,18.92916667
Cod_9034,22/07/2013,23.00160976,24.55068966,19.55545833
Cod_9034,23/07/2013,23.62361905,24.04880952,19.7655
Cod_9034,24/07/2013,24.10014634,23.28086957,19.71008333
Cod_9034,25/07/2013,24.0473822,23.9482716,19.66241667
